TEAM,SEASON,ACCURACY,TOP_FEATURE,IMPORTANCE
Boston Celtics,2022,0.68,FG_PCT,0.58
Brooklyn Nets,2022,0.79,REB,0.26
Charlotte Hornets,2022,0.57,FTA,0.25
Chicago Bulls,2022,0.79,DREB,0.33
Cleveland Cavaliers,2022,0.57,FG_PCT,0.26
Dallas Mavericks,2022,0.61,REB,0.23
Denver Nuggets,2022,0.68,FG_PCT,0.32
Detroit Pistons,2022,0.89,FGM,0.37
Golden State Warriors,2022,0.68,FG_PCT,0.32
Houston Rockets,2022,0.57,DREB,0.31
Indiana Pacers,2022,0.71,DREB,0.31
Los Angeles Clippers,2022,0.57,FGM,0.27
Los Angeles Lakers,2022,0.54,AST,0.38
Memphis Grizzlies,2022,0.71,FGM,0.43
Miami Heat,2022,0.68,AST,0.35
Milwaukee Bucks,2022,0.75,DREB,0.54
Minnesota Timberwolves,2022,0.54,FG_PCT,0.48
New Orleans Pelicans,2022,0.61,FG_PCT,0.25
New York Knicks,2022,0.57,FG_PCT,0.32
Oklahoma City Thunder,2022,0.57,FG_PCT,0.31
Orlando Magic,2022,0.61,FG_PCT,0.25
Philadelphia 76ers,2022,0.64,FG_PCT,0.35
Phoenix Suns,2022,0.61,TOV,0.26
Portland Trail Blazers,2022,0.79,DREB,0.37
Sacramento Kings,2022,0.82,FG_PCT,0.41
San Antonio Spurs,2022,0.61,DREB,0.32
Toronto Raptors,2022,0.5,FG3M,0.24
Utah Jazz,2022,0.71,REB,0.35
Washington Wizards,2022,0.75,FG_PCT,0.41
Atlanta Hawks,2023,0.75,FG_PCT,0.54
Boston Celtics,2023,0.74,FG_PCT,0.35
Brooklyn Nets,2023,0.61,DREB,0.38
Charlotte Hornets,2023,0.75,FG_PCT,0.41
Chicago Bulls,2023,0.64,DREB,0.32
Cleveland Cavaliers,2023,0.79,REB,0.38
Dallas Mavericks,2023,0.71,FG_PCT,0.47
Denver Nuggets,2023,0.75,FG_PCT,0.4
Detroit Pistons,2023,0.82,DREB,0.47
Golden State Warriors,2023,0.86,FG_PCT,0.31
Houston Rockets,2023,0.57,PF,0.25
Indiana Pacers,2023,0.64,FG3_PCT,0.37
Los Angeles Clippers,2023,0.82,FG_PCT,0.31
Los Angeles Lakers,2023,0.89,FG_PCT,0.28
Memphis Grizzlies,2023,0.82,FG_PCT,0.4
Miami Heat,2023,0.75,FG_PCT,0.4
Milwaukee Bucks,2023,0.71,FG_PCT,0.44
Minnesota Timberwolves,2023,0.61,FG_PCT,0.29
New Orleans Pelicans,2023,0.5,DREB,0.27
New York Knicks,2023,0.75,FG3_PCT,0.35
Oklahoma City Thunder,2023,0.82,FG_PCT,0.51
Orlando Magic,2023,0.68,FG_PCT,0.42
Philadelphia 76ers,2023,0.54,FG_PCT,0.32
Phoenix Suns,2023,0.71,FTM,0.21
Portland Trail Blazers,2023,0.86,DREB,0.33
Sacramento Kings,2023,0.57,FG_PCT,0.27
San Antonio Spurs,2023,0.71,FG_PCT,0.43
Toronto Raptors,2023,0.79,REB,0.28
Utah Jazz,2023,0.64,AST,0.38
Washington Wizards,2023,0.71,REB,0.26
